agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,General Construction/Plumbing,66,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,68,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,70,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,72,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,73,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,76,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,General Construction/Plumbing,78,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),0,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),1,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),3,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),4,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),5,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),6,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),7,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),9,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),13,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),15,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),19,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),28,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Investigations and Discipline (IAD),36,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Miscellaneous Categories,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,0,72,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,1,60,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,2,30,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,3,21,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,4,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,5,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,6,25,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,7,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,8,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,9,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,10,24,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,11,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,12,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,13,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,14,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,15,12,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,16,9,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,17,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,18,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,20,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,21,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,22,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,23,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,24,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,25,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,26,1,12,2017-05-29T22:38:45.331470
