,agency,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
168,DFTA,8.0,100,4,2017-07-24T20:44:41.174009
169,DSNY,16.0,1,4,2017-07-24T20:44:41.174009
170,NYPD,8.0,4,4,2017-07-24T20:44:41.174009
171,DOF,23.0,35,4,2017-07-24T20:44:41.174009
172,DOITT,0.0,3,4,2017-07-24T20:44:41.174009
173,TLC,9.0,12,4,2017-07-24T20:44:41.174009
174,DSNY,23.0,2,4,2017-07-24T20:44:41.174009
175,DPR,13.0,52,4,2017-07-24T20:44:41.174009
176,DCA,7.0,1,4,2017-07-24T20:44:41.174009
177,DFTA,14.0,7,4,2017-07-24T20:44:41.174009
178,DOT,17.0,6,4,2017-07-24T20:44:41.174009
179,DOHMH,11.0,60,4,2017-07-24T20:44:41.174009
180,HPD,19.0,212,4,2017-07-24T20:44:41.174009
181,DOHMH,5.0,153,4,2017-07-24T20:44:41.174009
182,DOB,2.0,426,4,2017-07-24T20:44:41.174009
183,DFTA,15.0,1,4,2017-07-24T20:44:41.174009
184,HPD,5.0,1528,4,2017-07-24T20:44:41.174009
185,DOHMH,19.0,13,4,2017-07-24T20:44:41.174009
186,HPD,11.0,515,4,2017-07-24T20:44:41.174009
187,DFTA,3.0,29,4,2017-07-24T20:44:41.174009
188,DSNY,1.0,5138,4,2017-07-24T20:44:41.174009
189,DOF,1.0,2306,4,2017-07-24T20:44:41.174009
190,DEP,22.0,2,4,2017-07-24T20:44:41.174009
191,DOF,9.0,26,4,2017-07-24T20:44:41.174009
192,TLC,23.0,3,4,2017-07-24T20:44:41.174009
193,DHS,8.0,1,4,2017-07-24T20:44:41.174009
194,DOITT,14.0,6,4,2017-07-24T20:44:41.174009
195,DSNY,9.0,38,4,2017-07-24T20:44:41.174009
196,DFTA,0.0,11,4,2017-07-24T20:44:41.174009
197,DPR,6.0,184,4,2017-07-24T20:44:41.174009
198,EDC,7.0,4,4,2017-07-24T20:44:41.174009
199,DOE,11.0,1,4,2017-07-24T20:44:41.174009
200,DOT,2.0,1185,4,2017-07-24T20:44:41.174009
201,TLC,1.0,9,4,2017-07-24T20:44:41.174009
202,DOITT,3.0,2,4,2017-07-24T20:44:41.174009
203,DOB,17.0,27,4,2017-07-24T20:44:41.174009
204,DEP,8.0,100,4,2017-07-24T20:44:41.174009
205,DPR,4.0,203,4,2017-07-24T20:44:41.174009
206,DOF,12.0,35,4,2017-07-24T20:44:41.174009
207,DSNY,12.0,6,4,2017-07-24T20:44:41.174009
208,EDC,5.0,6,4,2017-07-24T20:44:41.174009
209,DHS,3.0,15,4,2017-07-24T20:44:41.174009
210,DEP,15.0,20,4,2017-07-24T20:44:41.174009
